Case_Description,Court_Details,Case_Outcome
A criminal assault case with allegations of self-defense.,Assault Defense Court - Los Angeles,The defendant was acquitted based on self-defense claims.
A case involving illegal possession and distribution of firearms.,Firearms Possession Court - Miami,The defendant was convicted and sentenced to a mandatory minimum prison term.
A criminal case related to domestic violence allegations.,Domestic Violence Defense Court - Boston,The defendant received counseling and probation as part of a plea agreement.
A case involving allegations of tax evasion and financial fraud.,Tax Evasion Defense Court - Dallas,The defendant was convicted on some counts and acquitted on others.
A drug possession and distribution case.,Drug Possession Defense Court - Philadelphia,The defendant received a reduced sentence through a plea agreement.
A criminal harassment case with restraining order violations.,Harassment Defense Court - Atlanta,The defendant received probation and a restraining order.
A case of alleged computer hacking and unauthorized access.,Computer Hacking Defense Court - Silicon Valley,The defendant was acquitted due to lack of evidence.
A criminal case involving allegations of identity theft and forgery.,Identity Theft Defense Court - Seattle,The defendant was found not guilty by reason of insanity.
A criminal case related to allegations of assault and battery.,Assault and Battery Defense Court - Denver,The defendant received probation and anger management counseling.
A case of alleged financial embezzlement within a nonprofit organization.,Nonprofit Embezzlement Defense Court - San Diego,The defendant was found guilty and sentenced to restitution and community service.
A criminal case involving allegations of child endangerment.,Child Endangerment Defense Court - Phoenix,The defendant was acquitted after a thorough investigation.
A case of alleged cyberbullying and online harassment.,Cyberbullying Defense Court - Orlando,The defendant received probation and counseling.
A criminal case related to allegations of insurance fraud.,Insurance Fraud Defense Court - Miami Beach,The defendant was found guilty and ordered to pay restitution.
A criminal case involving allegations of public corruption.,Public Corruption Defense Court - Washington D.C.,The defendant was found guilty and sentenced to prison.
A family seeking guidance on creating a will and managing assets.,Asset Management Court - New York,The family successfully established a comprehensive estate plan.
A case involving the distribution of a deceased individual's assets.,Asset Distribution Court - California,The court approved the fair distribution of the deceased's estate among beneficiaries.
An individual seeking to establish a trust for future financial security.,Trust Establishment Court - Texas,The trust was successfully established to secure the individual's financial future.
A case involving the execution of a power of attorney for healthcare decisions.,Healthcare Power of Attorney Court - London,The healthcare power of attorney was legally executed.
A family seeking guidance on guardianship arrangements for a minor.,Guardianship Arrangement Court - Illinois,The family successfully established guardianship arrangements for the minor.
A case involving the creation of a charitable foundation.,Charitable Foundation Court - Washington D.C.,The charitable foundation was established in compliance with legal requirements.
An individual seeking to plan for the future care of a loved one with special needs.,Special Needs Care Planning Court - Boston,The individual successfully established a plan for the care and support of their loved one.
A case involving the execution of an advance healthcare directive.,Advance Healthcare Directive Court - Miami,The advance healthcare directive was legally executed specifying medical preferences.
A family seeking guidance on minimizing estate taxes through legal strategies.,Estate Tax Planning Court - San Francisco,The family successfully implemented estate tax reduction strategies.
A case involving the administration of a deceased person's estate.,Estate Administration Court - Chicago,The court oversaw the fair and legal administration of the deceased's estate.
An individual seeking to create a living will for healthcare decisions.,Living Will Creation Court - Los Angeles,The living will was legally created to guide future healthcare decisions.
A family seeking to establish a trust for educational expenses.,Education Trust Establishment Court - Dallas,The education trust was successfully established for educational expenses.
A case involving the creation of a family business succession plan.,Business Succession Planning Court - Phoenix,The family business succession plan was developed to ensure a smooth transition.
An individual seeking to plan for retirement and asset protection.,Retirement Planning Court - Orlando,The individual successfully established a retirement plan with asset protection.
A case involving the creation of a charitable trust.,Charitable Trust Creation Court - San Diego,The charitable trust was legally established to support charitable causes.
A family seeking guidance on the establishment of a generational wealth plan.,Generational Wealth Planning Court - Denver,The family successfully created a plan to preserve wealth for future generations.
A case involving the execution of a durable power of attorney.,Durable Power of Attorney Court - Atlanta,The durable power of attorney was legally executed for financial matters.
An individual seeking guidance on long-term care planning and Medicaid eligibility.,Medicaid Planning Court - Seattle,The individual successfully navigated long-term care planning with Medicaid eligibility.
A case involving the creation of a pet trust for the care of beloved animals.,Pet Trust Creation Court - Portland,The pet trust was established to ensure the care of the individual's beloved animals.
A family seeking guidance on the creation of a blended family estate plan.,Blended Family Estate Planning Court - Philadelphia,The family successfully created an
A divorce case involving the dissolution of a marriage.,Marriage Dissolution Court - New York,The divorce was finalized with asset division and custody arrangements.
A child custody dispute between separated parents.,Custody Dispute Court - California,The court awarded joint custody with visitation rights to both parents.
A case involving the adoption of a child by a loving couple.,Adoption Court - Texas,The adoption was successfully completed and the child joined the loving family.
A paternity case to establish legal fatherhood.,Paternity Establishment Court - London,The court legally established paternity rights and responsibilities.
A domestic violence case with a restraining order request.,Restraining Order Court - Illinois,The restraining order was granted to protect the victim from further harm.
A prenuptial agreement dispute between spouses.,Prenuptial Agreement Dispute Court - Washington D.C.,The prenuptial agreement was upheld in court.
A child support modification case due to changing financial circumstances.,Child Support Modification Court - San Francisco,The child support order was modified to reflect the new financial situation.
A case involving the division of property in a divorce.,Property Division Court - Los Angeles,The property division was completed according to state law.
A spousal support (alimony) determination case.,Spousal Support Determination Court - Miami,The court ordered spousal support payments based on financial circumstances.
A case involving grandparents seeking visitation rights.,Grandparent Visitation Court - Boston,The grandparents were granted visitation rights to maintain a relationship with their grandchildren.
A child relocation case with parental consent issues.,Child Relocation Consent Court - Dallas,The court approved the child's relocation with the consenting parent.
A case involving the enforcement of a court order for child support.,Child Support Enforcement Court - Phoenix,The court enforced the child support order and payments were made.
A post-divorce modification case to adjust visitation schedules.,Visitation Schedule Modification Court - Orlando,The visitation schedule was modified to accommodate changing circumstances.
A case involving the annulment of a marriage due to legal grounds.,Marriage Annulment Court - San Diego,The marriage was legally annulled based on valid grounds.
A child custody case involving allegations of parental alienation.,Parental Alienation Court - Chicago,The court ordered counseling to address parental alienation issues.
A case involving the establishment of a child's legal guardianship.,Legal Guardianship Establishment Court - Denver,The legal guardianship was established for the child's welfare.
A domestic partnership dissolution case.,Domestic Partnership Dissolution Court - Atlanta,The dissolution was finalized and property and asset division occurred.
A case involving the determination of visitation rights for a non-custodial parent.,Visitation Rights Determination Court - Seattle,The court determined visitation rights in the child's best interest.
A case involving the legal separation of a married couple.,Legal Separation Court - Portland,The legal separation was granted addressing financial and custodial matters.
A child custody case involving a child's best interests.,Best Interests Custody Court - Philadelphia,The court awarded custody based on the child's best interests and welfare.
A case involving a visa application for a foreign worker.,Visa Application Court - New York,The visa was approved allowing the foreign worker to work in the country.
A deportation defense case for an undocumented immigrant.,Deportation Defense Court - California,The immigrant's deportation was successfully halted and they gained legal status.
A case involving a green card application for a family member.,Green Card Application Court - Texas,The green card was approved reuniting the family in the country.
A citizenship application case for a long-term resident.,Citizenship Application Court - London,The individual became a citizen after successfully completing the naturalization process.
A case involving a political asylum application.,Asylum Application Court - Illinois,The individual was granted political asylum due to a well-founded fear of persecution.
A case involving a marriage-based adjustment of status application.,Adjustment of Status Court - Washington D.C.,The adjustment of status was approved allowing the individual to remain in the country with their spouse.
A case involving a temporary protected status (TPS) extension.,TPS Extension Court - San Francisco,The TPS extension was granted allowing the individual to stay temporarily due to country-specific conditions.
A case involving a student visa application.,Student Visa Application Court - Los Angeles,The student visa was approved allowing the individual to study in the country.
A case involving a family reunification visa application.,Family Reunification Visa Court - Miami,The family reunification visa was approved allowing the family to be reunited.
A case involving a business investor visa application.,Investor Visa Application Court - Boston,The investor visa was approved allowing the individual to invest in a business in the country.
A case involving a work permit application for an asylum seeker.,Work Permit Application Court - Dallas,The work permit was granted allowing the asylum seeker to work legally while their case was pending.
A case involving a refugee resettlement application.,Refugee Resettlement Court - Phoenix,The individual was granted refugee status and resettled in the country.
A case involving a naturalization application for a long-time permanent resident.,Naturalization Application Court - Orlando,The individual successfully became a citizen after the naturalization process.
A case involving a visa extension for a foreign student.,Visa Extension Court - San Diego,The visa extension was granted allowing the student to continue their studies.
A case involving a fiancé visa application.,Fiancé Visa Application Court - Chicago,The fiancé visa was approved allowing the couple to reunite and marry in the country.
A case involving an H-1B visa petition for a skilled worker.,H-1B Visa Petition Court - Denver,The H-1B visa petition was approved allowing the skilled worker to be employed by a U.S. company.
A case involving a U visa application for a crime victim.,U Visa Application Court - Atlanta,The U visa was granted providing protection to the crime victim.
A case involving a family-based preference visa application.,Family-Based Visa Application Court - Seattle,The family-based preference visa was approved allowing family members to immigrate.
A case involving an asylum status adjustment application.,Asylum Status Adjustment Court - Portland,The asylum status adjustment was approved granting legal permanent resident status.
A case involving a marriage-based immigration fraud investigation.,Immigration Fraud Investigation Court - Philadelphia,The investigation found no evidence of fraud and the marriage-based application was approved.
A trademark infringement case involving two competing brands.,Trademark Infringement Court - New York,The court ruled in favor of the plaintiff ordering the defendant to cease trademark infringement.
A patent infringement case against a tech company.,Patent Infringement Court - California,The tech company was found guilty and ordered to pay substantial damages.
A copyright dispute between authors over creative work.,Copyright Dispute Court - Texas,The dispute was resolved with a favorable settlement and joint creative rights.
A case involving the protection of trade secrets in a business dispute.,Trade Secret Protection Court - London,The trade secrets were protected and a non-disclosure agreement was enforced.
A case involving the enforcement of software licensing agreements.,Software Licensing Enforcement Court - Illinois,The defendant was found in breach of the software licensing agreement and ordered to pay damages.
A design patent infringement case against a fashion retailer.,Design Patent Infringement Court - Paris,The fashion retailer agreed to a settlement and ceased infringing on the design patent.
A case involving a domain name dispute and cyber-squatting.,Domain Name Dispute Court - Washington D.C.,The domain name was transferred to the rightful owner resolving the dispute.
A copyright infringement case against a media company.,Copyright Infringement Court - San Francisco,The media company settled the case by paying royalties for copyrighted content.
A case involving the protection of confidential client lists.,Client List Protection Court - Boston,The court issued an injunction to protect the confidential client lists.
A case involving the enforcement of a non-compete agreement.,Non-Compete Agreement Enforcement Court - Miami,The non-compete agreement was enforced preventing unfair competition.
A patent application dispute involving innovative technology.,Patent Application Dispute Court - Silicon Valley,The patent application was approved recognizing the innovative technology.
A case involving the protection of product packaging design.,Packaging Design Protection Court - Chicago,The court granted protection for the unique product packaging design.
A copyright infringement case against a music streaming platform.,Copyright Infringement Court - Los Angeles,The music streaming platform was found liable for copyright infringement and ordered to pay damages.
A case involving the enforcement of a licensing agreement for software.,Software Licensing Enforcement Court - Seattle,The defendant was held in breach of the software licensing agreement and ordered to comply.
A trade dress infringement case against a consumer goods company.,Trade Dress Infringement Court - Dallas,The consumer goods company agreed to a settlement and revised its product packaging.
A case involving the protection of a pharmaceutical patent.,Pharmaceutical Patent Protection Court - Philadelphia,The pharmaceutical patent was protected preventing generic competition.
A copyright dispute between filmmakers over film rights.,Copyright Dispute Court - Hollywood,The dispute was resolved with a favorable settlement and shared film rights.
A case involving the enforcement of a technology licensing agreement.,Technology Licensing Enforcement Court - San Diego,The defendant was found in breach of the technology licensing agreement and ordered to comply.
A case involving a patent infringement lawsuit against a medical device company.,Medical Device Patent Infringement Court - Denver,The medical device company was found guilty of patent infringement and ordered to pay damages.
A case involving the protection of a software algorithm through a patent.,Software Algorithm Patent Protection Court - Atlanta,The software algorithm patent was granted providing legal protection.
I slipped and fell in a grocery store aisle.,Premises Liability Court - New York,The store settled my claim for medical expenses and pain and suffering.
I was rear-ended in a car accident.,Auto Accident Court - California,The at-fault driver's insurance paid for my vehicle repairs and medical bills.
I was bitten by a neighbor's dog while walking my own dog.,Dog Bite Court - Texas,The neighbor's homeowner's insurance compensated me for my medical treatment.
I got injured at a construction site due to inadequate safety measures.,Construction Injury Court - London,The construction company paid for my medical bills and lost wages.
I was hit by a falling object at a retail store.,Retail Store Injury Court - Illinois,The store accepted liability and compensated me for my injuries.
I slipped on a wet floor at a restaurant.,Slip and Fall Court - Washington D.C.,The restaurant settled my claim for my medical expenses and lost wages.
I suffered injuries in a workplace accident.,Workplace Injury Court - San Francisco,Workers' compensation covered my medical treatment and disability benefits.
I was injured in a cycling accident caused by a negligent driver.,Bicycle Accident Court - Boston,The driver's insurance paid for my medical expenses and bike repairs.
I tripped on a broken sidewalk in my neighborhood.,Sidewalk Injury Court - Miami,The city settled my claim for the injuries and sidewalk repair.
I was injured in a boating accident due to reckless operation.,Boating Accident Court - Dallas,The boat owner's insurance covered my medical costs and boat repairs.
I was injured in a slip and slide amusement park ride.,Amusement Park Injury Court - Phoenix,The amusement park compensated me for my injuries and offered safety improvements.
I suffered injuries in a nursing home due to neglect.,Nursing Home Neglect Court - Orlando,The nursing home settled my claim for my suffering and implemented better care.
I was injured by a defective product I bought online.,Product Liability Court - San Diego,The manufacturer compensated me for my injuries and recalled the product.
I was attacked by a security guard in a nightclub.,Assault by Security Guard Court - Chicago,The nightclub settled my claim for my injuries and implemented security changes.
I got injured in a public transportation accident.,Public Transportation Injury Court - Los Angeles,The transportation company paid for my medical treatment and offered safety improvements.
I slipped on an icy walkway outside a business.,Icy Walkway Injury Court - Denver,The business owner settled my claim for my injuries and improved ice removal.
I was injured in a motorcycle accident caused by a reckless driver.,Motorcycle Accident Court - Atlanta,The at-fault driver's insurance compensated me for my medical expenses.
I suffered injuries in a medical malpractice incident.,Medical Malpractice Court - Seattle,The healthcare provider settled my claim for medical expenses and negligence.
I was injured in a dog attack at a park.,Dog Attack in Park Court - Portland,The dog owner compensated me for my medical bills and dog training.
I slipped on spilled oil at a gas station.,Gas Station Slip and Fall Court - Philadelphia,The gas station settled my claim for my injuries and improved safety measures.
I received an audit notice from the IRS regarding my tax returns.,Tax Audit Court - New York,After providing necessary documentation the IRS found no issues with my returns.
A business owner faced allegations of tax evasion by the tax authorities.,Tax Evasion Allegation Court - California,The business owner was acquitted of all tax evasion charges.
My company was audited by the state tax department for sales tax compliance.,Sales Tax Audit Court - Texas,We cooperated with the audit and the state tax department confirmed our compliance.
A corporation faced a lawsuit over transfer pricing practices with international operations.,Transfer Pricing Lawsuit Court - London,The corporation reached a settlement agreement with tax authorities.
I received a notice of tax lien from the IRS for unpaid taxes.,Tax Lien Notice Court - Illinois,I hired a tax lawyer who successfully negotiated a lien release with the IRS.
A taxpayer was accused of failing to report offshore financial accounts.,Offshore Tax Reporting Court - Washington D.C.,The taxpayer paid penalties and complied with offshore account reporting.
My family faced estate tax challenges following the passing of a relative.,Estate Tax Dispute Court - San Francisco,We contested the estate tax valuation leading to a favorable resolution.
A corporation was audited for compliance with corporate income tax regulations.,Corporate Income Tax Audit Court - Boston,The corporation adjusted its tax filings to comply with regulations.
I faced allegations of tax fraud related to my small business income.,Small Business Tax Fraud Court - Miami,I was found not guilty of tax fraud charges after a thorough legal defense.
An individual was audited for claiming excessive deductions on tax returns.,Deductions Audit Court - Dallas,The individual substantiated the deductions and the audit was closed without penalties.
My company was involved in a transfer pricing dispute with the IRS.,Transfer Pricing Dispute Court - Phoenix,We reached a favorable settlement with the IRS resolving the dispute.
A taxpayer faced a lawsuit over cryptocurrency tax reporting.,Cryptocurrency Tax Lawsuit Court - Orlando,The taxpayer paid back taxes and penalties to settle the lawsuit.
I received a notice of tax levy from the state tax department.,Tax Levy Notice Court - San Diego,My tax lawyer negotiated a levy release after a payment arrangement was made.
A corporation was audited for compliance with state and local tax regulations.,State and Local Tax Audit Court - Chicago,The corporation updated its tax records to align with state and local tax laws.
I faced allegations of tax evasion related to offshore accounts.,Offshore Tax Evasion Court - Los Angeles,I was found guilty of tax evasion and received a prison sentence.
An individual was audited for unreported foreign income.,Foreign Income Audit Court - Denver,The individual amended tax returns and paid back taxes to resolve the audit.
My family encountered a dispute over the valuation of inherited assets for estate tax.,Estate Tax Valuation Dispute Court - Atlanta,The valuation dispute was resolved with a fair assessment of inherited assets.
A corporation faced a lawsuit over employee misclassification for payroll taxes.,Payroll Tax Lawsuit Court - Seattle,The corporation settled the lawsuit by reclassifying employees and adjusting payroll tax filings.
I received a notice of property tax assessment from the county.,Property Tax Assessment Court - Portland,My tax lawyer successfully appealed the property tax assessment reducing the liability.
A small business owner faced allegations of underreporting income on tax returns.,Income Underreporting Allegation Court - Philadelphia,The small business owner cooperated with an audit resulting in a minimal adjustment.
A case challenging the constitutionality of a state's voting laws.,State Voting Laws Challenge Court - New York,The court ruled in favor of the plaintiffs striking down the restrictive voting laws.
A lawsuit challenging the First Amendment rights of a protest group.,First Amendment Lawsuit Court - California,The court upheld the group's First Amendment rights to free speech and assembly.
A case involving the separation of church and state in public schools.,Church-State Separation Court - Texas,The court ruled that the school's practices violated the principle of separation of church and state.
A lawsuit challenging the constitutionality of a surveillance program.,Surveillance Program Challenge Court - London,The court found the surveillance program unconstitutional and ordered its cessation.
A case involving Fourth Amendment rights in a search and seizure dispute.,Fourth Amendment Dispute Court - Illinois,The court ruled in favor of the defendant citing a violation of Fourth Amendment rights.
A lawsuit challenging the constitutionality of a state's capital punishment laws.,Capital Punishment Challenge Court - Washington D.C.,The court ruled that the state's capital punishment laws were constitutional.
A case involving equal protection under the law in a discrimination lawsuit.,Equal Protection Lawsuit Court - San Francisco,The court found in favor of the plaintiff affirming equal protection under the law.
A lawsuit challenging the Second Amendment rights in a gun control dispute.,Second Amendment Dispute Court - Boston,The court upheld the state's gun control laws as consistent with the Second Amendment.
A case involving the right to privacy in a data collection lawsuit.,Privacy Rights Lawsuit Court - Miami,The court ruled in favor of the plaintiff affirming the right to privacy in data collection.
A lawsuit challenging the constitutionality of a state's eminent domain laws.,Eminent Domain Challenge Court - Dallas,The court ruled in favor of the property owner finding the laws unconstitutional.
A case involving due process rights in an administrative hearing.,Due Process Dispute Court - Phoenix,The court ruled that the administrative hearing violated the individual's due process rights.
A lawsuit challenging the constitutionality of a state's gerrymandering practices.,Gerrymandering Challenge Court - Orlando,The court found the state's gerrymandering practices unconstitutional and ordered redistricting.
A case involving the right to a fair trial in a criminal defense lawsuit.,Fair Trial Lawsuit Court - San Diego,The court ruled in favor of the defendant affirming the right to a fair trial.
A lawsuit challenging the constitutionality of a state's education funding system.,Education Funding Challenge Court - Chicago,The court ruled that the education funding system violated the state constitution.
A case involving the right to bear arms in a firearms regulation lawsuit.,Firearms Regulation Lawsuit Court - Los Angeles,The court upheld the state's firearms regulations as consistent with the Second Amendment.
A lawsuit challenging the constitutionality of a state's censorship laws.,Censorship Challenge Court - Denver,The court found the censorship laws unconstitutional protecting freedom of expression.
A case involving the right to assembly in a protest permit dispute.,Right to Assembly Lawsuit Court - Atlanta,The court upheld the right to assembly and ordered the issuance of protest permits.
A lawsuit challenging the constitutionality of a state's immigration policies.,Immigration Policy Challenge Court - Seattle,The court ruled that the state's immigration policies were unconstitutional.
A case involving the right to a speedy trial in a criminal case.,Speedy Trial Lawsuit Court - Portland,The court ruled in favor of the defendant affirming the right to a speedy trial.
A lawsuit challenging the constitutionality of a state's surveillance of religious institutions.,Religious Institution Surveillance Challenge Court - Philadelphia,The court found the surveillance unconstitutional protecting religious freedom.
I was sued for copyright infringement over a music sample in my song.,Copyright Infringement Lawsuit Court - New York,We settled the case by agreeing to royalty payments and giving credit to the original artist.
A production company faced a breach of contract lawsuit over a film project.,Breach of Contract Lawsuit Court - California,The court ruled in favor of the production company awarding damages for the breach.
My band was involved in a dispute with a music venue over a canceled performance.,Performance Dispute Court - Texas,We settled the dispute and the venue reimbursed us for lost income.
A filmmaker faced a defamation lawsuit related to a documentary film.,Defamation Lawsuit Court - London,The filmmaker was found not liable for defamation as the documentary was truthful.
I signed a talent agency contract and later wanted to terminate it.,Talent Agency Contract Termination Court - Illinois,I successfully terminated the contract with the help of my entertainment lawyer.
An actor was sued for breach of a film contract by a production company.,Film Contract Breach Lawsuit Court - Washington D.C.,The actor was found not in breach of the contract and the lawsuit was dismissed.
I faced a lawsuit from a former collaborator over intellectual property rights.,Intellectual Property Dispute Court - San Francisco,I settled the dispute by sharing ownership of the intellectual property.
A celebrity faced a privacy invasion lawsuit related to paparazzi photos.,Privacy Invasion Lawsuit Court - Boston,The celebrity was awarded damages for the invasion of privacy.
I received a cease and desist letter regarding a blog post about a celebrity.,Defamation Cease and Desist Court - Miami,I complied with the letter's demands and removed the content.
A band faced a trademark infringement lawsuit over their band name.,Trademark Infringement Lawsuit Court - Dallas,The band changed its name to resolve the trademark infringement lawsuit.
I wanted to renegotiate a film contract for a higher salary.,Contract Renegotiation Court - Phoenix,My entertainment lawyer negotiated a higher salary with the production company.
A music producer faced a contract dispute with a recording artist.,Music Contract Dispute Court - Orlando,The parties reached a settlement and the producer received production credit.
I was sued for libel over a social media post about a public figure.,Libel Lawsuit Court - San Diego,The court ruled in favor of the public figure and I issued a public apology.
A TV network faced a lawsuit over content distribution rights.,Content Distribution Lawsuit Court - Chicago,The TV network won the lawsuit affirming its distribution rights.
I wanted to negotiate a licensing agreement for my artwork.,Licensing Agreement Negotiation Court - Los Angeles,My entertainment lawyer negotiated favorable licensing terms.
A theater company faced a lawsuit over copyright infringement of a play.,Play Copyright Infringement Lawsuit Court - Denver,The theater company settled the lawsuit by paying royalties to the playwright.
I received a contract for a reality TV show appearance and needed review.,Reality TV Contract Review Court - Atlanta,My entertainment lawyer reviewed the contract and made necessary revisions.
A screenwriter was involved in a dispute over screenplay credit.,Screenplay Credit Dispute Court - Seattle,The screenwriter received credit for their work after the dispute was resolved.
I wanted to establish a partnership agreement for a creative project.,Partnership Agreement Establishment Court - Portland,My entertainment lawyer helped draft a comprehensive partnership agreement.
A music band faced a lawsuit over alleged plagiarism in their song lyrics.,Plagiarism Lawsuit Court - Philadelphia,The band settled the lawsuit by providing compensation to the aggrieved party.
I was wrongfully terminated from my job due to discrimination.,Wrongful Termination Lawsuit Court - New York,The court ruled in my favor awarding compensation for lost wages and damages.
An employee faced a harassment lawsuit against their former supervisor.,Harassment Lawsuit Court - California,The employee was awarded damages for emotional distress caused by harassment.
My company faced a class-action lawsuit over unpaid overtime wages.,Overtime Wage Class-Action Court - Texas,We settled the lawsuit by paying the class members their owed overtime wages.
An employee was injured at work and filed a workers' compensation claim.,Workers' Compensation Claim Court - London,The employee received workers' compensation benefits to cover medical expenses and lost wages.
I was denied reasonable accommodations for my disability at work.,Disability Accommodation Lawsuit Court - Illinois,I won the lawsuit and my employer was ordered to provide reasonable accommodations.
An employee faced a dispute over non-compete clauses in their employment contract.,Non-Compete Clause Dispute Court - Washington D.C.,The court ruled that the non-compete clauses were unenforceable allowing the employee to work elsewhere.
I was sexually harassed at my workplace and filed a complaint.,Sexual Harassment Complaint Court - San Francisco,The company conducted a thorough investigation and took disciplinary actions against the harasser.
An employee faced a lawsuit over alleged trade secret theft.,Trade Secret Theft Lawsuit Court - Boston,The employee was cleared of the allegations after demonstrating no theft of trade secrets.
I faced a lawsuit for defamation related to statements made during a union dispute.,Defamation Lawsuit Court - Miami,I was found not liable for defamation as the statements were protected under labor laws.
An employee faced a wage and hour lawsuit for unpaid breaks and meal periods.,Wage and Hour Lawsuit Court - Dallas,The employee was awarded back pay for unpaid breaks and meal periods.
I sought legal assistance to negotiate a severance package after being laid off.,Severance Package Negotiation Court - Phoenix,My employment lawyer helped secure a favorable severance package for me.
An employee faced a lawsuit over alleged age discrimination.,Age Discrimination Lawsuit Court - Orlando,The court ruled in favor of the employee awarding damages for age discrimination.
I faced a dispute over unpaid commissions according to my sales contract.,Unpaid Commissions Dispute Court - San Diego,The court ordered the company to pay the unpaid commissions as outlined in the contract.
An employee filed a lawsuit over workplace retaliation after reporting safety violations.,Retaliation Lawsuit Court - Chicago,The employee received compensation for damages related to workplace retaliation.
I wanted to negotiate a collective bargaining agreement on behalf of my union.,Collective Bargaining Agreement Negotiation Court - Los Angeles,My employment lawyer helped negotiate a favorable collective bargaining agreement.
